メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,,,,排気量
メルセデス・ベンツ,Ｂクラス 5D 2WD,2020,ＣＡＴ,28,247012,5 - すごくきれい,197 ～ 202,2025年09月,Ｂ２００ｄ ＡＭＧライン,2000,,グレー,AC NV TV AW SR 革
メルセデス・ベンツ,Ｅクラスステーションワゴン 5D 4WD,2018,ＣＡＴ,75,213271,3 - 普通,125 ～ 129,2025年09月,Ｅ４００ ４マチックステーションワゴンエクスクルシブ,3500,,白,AC NV TV AW SR 革
メルセデス・ベンツ,Ｇクラス 5D 4WD,2002,ＡＴ,181,3 - 普通,253 ～ 257,nan,2025年09月,Ｇ５５Ｌ ＡＭＧ,5500,,黒,AC NV TV AW SR 革
メルセデス・ベンツ,ＣＬＥ クーペ 2WD,2024,ＣＡＴ,4,236350C,5 - すごくきれい,647 ～ 649,2025年09月,ＣＬＥ２００ クーペ スポーツ,2000,10.1,グレー,AC NV TV AW SR 革
メルセデス・ベンツ,ＣＬＡクラス 4DHT 2WD,2024,ＣＡＴ,6,118312M,5 - すごくきれい,402 ～ 406,2025年09月,ＣＬＡ２００ｄ ＡＭＧラインパッケージ,2000,8.3,白,AC NV TV AW SR 革
メルセデス・ベンツ,ＥＱＥ 4D 2WD,2024,ＣＡＴ,17,295121,5 - すごくきれい,415 ～ 420,2025年09月,ＥＱＥ３５０＋ ＡＭＧラインパッケージ,,8.12,グレー,000 AC NV TV AW SR 革
メルセデス・ベンツ,Ｂクラス 5D 2WD,2020,ＣＡＴ,84,247012,5 - すごくきれい,128 ～ 133,2025年09月,Ｂ２００ｄ ＡＭＧライン,2000,,青,AC
メルセデス・ベンツ,ＣＬＳクラス 4D 2WD,2015,ＣＡＴ,126,218301,4 - きれい,100 ～ 102,2025年09月,ＣＬＳ２２０ ブルーテック ＡＭＧライン,2200,9.6,パール,AC NV TV AW SR 革
メルセデス・ベンツ,ＧＬＡクラス 5D 2WD,2016,ＡＴ,44,156942,5 - すごくきれい,98 ～ 102,2025年09月,ＧＬＡ１８０,1600,,黒,AC NV TV AW 革
メルセデス・ベンツ,ＣＬＡクラス 4DHT 2WD,2024,ＣＡＴ,4,118312M,5 - すごくきれい,349 ～ 354,2025年09月,ＣＬＡ２００ｄ ＡＭＧラインパッケージ,2000,9.9,青,AC NV TV AW SR 革
