メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
日産,エクストレイル 5D 2WD,2008,ＡＴ,124,T31,3 - 普通,13 ～ 17,2025年09月,２０Ｓ,2000,9.3,黒,AC NV TV AW SR 革
日産,ティアナ 4D 2WD,2014,ＡＴ,91,L33,4 - きれい,38 ～ 43,2025年09月,ＸＶ,2500,8.11,パール,AC NV TV AW 革
日産,セレナ 5D 4WD,2022,ＡＴ,80,GNC27,5 - すごくきれい,138 ～ 143,2025年09月,ＸＶ,2000,,グレー,AC NV TV AW
日産,ノート 5D 2WD,2012,ＡＴ,187,E12,3 - 普通,4 ～ 7,2025年09月,Ｘ ＤＩＧ－Ｓ,1200,,,AC NV TV AW SR 革
日産,ルークス 5D 4WD,2024,ＡＴ,1,B47A,5 - すごくきれい,153 ～ 158,2025年09月,ハイウェイスター Ｘ プロパイロットエディション,,9.6,ワイン,660 AC NV TV
日産,ルークス 5D 2WD,2012,ＡＴ,59,ML21S,5 - すごくきれい,28 ～ 30,2025年09月,ハイウェイスターターボ,,,パープル,660 AC NV TV AW
日産,エクストレイル 5D 4WD,2012,ＡＴ,122,NT31,3 - 普通,29 ～ 32,2025年09月,２０Ｘ,2000,,パール,AC AW
日産,ノート 5D 2WD,2018,ＡＴ,54,E12,4 - きれい,45 ～ 47,2025年09月,Ｘ,1200,,シルバー,AC NV TV AW
日産,ノート 5D 2WD,2014,ＡＴ,142,E12,3 - 普通,4 ～ 7,2025年09月,Ｘ エマージェンシーブレーキパッケージ,1200,,黒,AC
日産,デイズ 5D 2WD,2017,ＡＴ,43,B21W,3 - 普通,32 ～ 35,2025年09月,ハイウェイスター Ｘ,,,パープル,660 AC
日産,リーフ 5D 2WD,2020,ＡＴ,81,ZE1,5 - すごくきれい,87 ～ 91,2025年09月,Ｘ Ｖセレクション,,9.1,黄,000 AC NV TV AW
