メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備,グレード_fixed,排気量_fixed,車検_fixed,色_fixed,装備_fixed
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備,グレード,,,,排気量
マセラティ,クアトロポルテ 4D 2WD,2007,ＡＴ,77,MQP,4 - きれい,40 ～ 42,2025年03月,ベースグレード,4200,,白,AC AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2016,ＡＴ,20,MGTA1,5 - すごくきれい,504 ～ 510,2025年03月,スポーツ ＭＣオートシフト,4700,,白,AC NV TV AW,,,,,
マセラティ,レヴァンテ 5D 4WD,2017,ＡＴ,35,MLE30A,5 - すごくきれい,360 ～ 365,2025年03月,グランルッソ,3000,,白,AC AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2017,ＡＴ,89,MG30A,4 - きれい,160 ～ 164,2025年03月,Ｓ,3000,8.5,黒,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2012,ＡＴ,56,5 - すごくきれい,243 ～ 248,nan,2025年03月,Ｓ,4700,,黒,AC,,,,,
マセラティ,ギブリ 2WD,2016,ＡＴ,69,MG30B,4 - きれい,139 ～ 143,2025年03月,,3000,,グレー,AC NV TV AW 革,,,,,
マセラティ,グランスポーツ クーペ 2WD,2007,ＡＴ,59,MGS,4 - きれい,218 ～ 222,2025年03月,ベースグレード,4200,8.4,黒,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2021,ＡＴ,11,MLE30D,5 - すごくきれい,471 ～ 475,2025年03月,グランスポーツ,3000,8.9,グレー,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2014,ＡＴ,48,MQP30A,5 - すごくきれい,167 ～ 169,2025年03月,Ｓ,3000,8.7,黒,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2021,ＡＴ,11,MG38,5 - すごくきれい,794 ～ 800,2025年03月,トロフェオ,3800,8.10,黒,AC AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2022,ＡＴ,1,MG38,5 - すごくきれい,858 ～ 863,2025年03月,トロフェオ,3800,7.8,白,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2016,ＡＴ,64,MG30A,5 - すごくきれい,160 ～ 166,2025年03月,Ｓ,3000,,白,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2015,ＡＴ,44,MG30B,5 - すごくきれい,188 ～ 192,2025年03月,ベースグレード,3000,8.9,青,AC AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2009,ＡＴ,21,MQP,5 - すごくきれい,129 ～ 132,2025年03月,ベースグレード,4200,8.1,パール,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2017,ＡＴ,53,MG30C,5 - すごくきれい,302 ～ 306,2025年03月,グランスポーツ,3000,8.3,白,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2017,ＡＴ,25,MLE30E,5 - すごくきれい,329 ～ 335,2025年03月,Ｓ,3000,,白,AC NV TV AW SR 革,,,,,
マセラティ,クーペ クーペ 2WD,2005,ＡＴ,39,MCP,4 - きれい,157 ～ 161,2025年03月,カンビオコルサ,4200,,白,AC NV TV AW SR 革,,,,,
マセラティ,グレカーレ 5D 4WD,2023,ＡＴ,7,MGR20C,5 - すごくきれい,655 ～ 658,2025年03月,ＧＴ,2000,8.3,黒,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2020,ＡＴ,19,MG30A,5 - すごくきれい,529 ～ 533,2025年03月,Ｓ グランスポーツ,3000,7.12,黒,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2020,ＡＴ,110,MLE30A,4 - きれい,276 ～ 279,2025年03月,グランスポーツ,3000,,白,AC NV TV AW 革,,,,,
マセラティ,ギブリ 4D 4WD,2015,ＡＴ,33,MG30AA,5 - すごくきれい,273 ～ 278,2025年03月,Ｓ Ｑ４,3000,8.6,黒,AC NV TV AW 革,,,,,
マセラティ,ギブリ 4D 4WD,2016,ＡＴ,43,MG30AA,5 - すごくきれい,264 ～ 267,2025年03月,Ｓ Ｑ４,3000,7.8,白,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2017,ＡＴ,51,MLE30A,5 - すごくきれい,258 ～ 262,2025年03月,ベースグレード,3000,8.6,白,AC NV TV AW 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2018,ＡＴ,22,MLE30E,5 - すごくきれい,462 ～ 467,2025年03月,Ｓグランスポーツ,3000,7.9,黒,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2008,ＡＴ,73,MGT,4 - きれい,209 ～ 211,2025年03月,ベースグレード,4200,,白,AC AW 革,,,,,
マセラティ,ギブリ 4D 2WD,2017,ＡＴ,55,MG30C,5 - すごくきれい,205 ～ 210,2025年03月,ベースグレード,3000,8.10,白,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2014,ＡＴ,25,MG30A,5 - すごくきれい,163 ～ 166,2025年03月,Ｓ,3000,7.6,黒,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2005,ＡＴ,40,MQP,4 - きれい,38 ～ 41,2025年03月,ベースグレード,4200,,黒,AC AW 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2017,ＡＴ,39,MLE30E,5 - すごくきれい,330 ～ 336,2025年03月,Ｓ,3000,8.5,白,AC AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2022,ＡＴ,9,MLE30,5 - すごくきれい,736 ～ 740,2025年03月,モデナ,3000,7.12,白,AC AW SR,,,,,
マセラティ,クアトロポルテ 2WD,2006,ＡＴ,121,MQP,-1 - 修復歴あり,42 ～ 46,2025年03月,,4200,,シルバー,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2011,ＡＴ,29,MGTA,5 - すごくきれい,338 ～ 341,2025年03月,Ｓ,4700,7.4,白,AC NV TV AW 革,,,,,
マセラティ,グランスポーツ クーペ 2WD,2006,ＡＴ,63,MGS,3 - 普通,207 ～ 213,2025年03月,ベースグレード,4200,,黒,AC AW 革,,,,,
マセラティ,ギブリ 2WD,2018,ＡＴ,57,MG30C,4 - きれい,202 ～ 208,2025年03月,,3000,7.5,白,AC NV TV AW SR,,,,,
マセラティ,ギブリ 4D 2WD,2023,ＡＴ,18,MG20,5 - すごくきれい,524 ～ 527,2025年03月,ＧＴハイブリッド,2000,8.8,白,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2014,ＡＴ,42,MGTS2,4 - きれい,406 ～ 408,2025年03月,スポーツ ＭＣシフト,4700,8.7,白,AC NV TV AW 革,,,,,
マセラティ,ギブリ 4D 2WD,2017,ＡＴ,40,MG30C,5 - すごくきれい,248 ～ 253,2025年03月,ベースグレード,3000,8.11,白,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2021,ＡＴ,12,MLE30,5 - すごくきれい,719 ～ 722,2025年03月,モデナ,3000,9.4,黒,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 2WD,2018,ＡＴ,61,MG30C,4 - きれい,203 ～ 207,2025年03月,,3000,7.5,白,AC NV TV AW SR,,,,,
マセラティ,クアトロポルテ 4D 2WD,2014,ＡＴ,111,MQP38A,3 - 普通,80 ～ 83,2025年03月,ＧＴ Ｓ,3800,8.4,黒,AC SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2019,ＡＴ,42,MLE30D,4 - きれい,392 ～ 396,2025年03月,,3000,8.5,黒,AC NV TV SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2018,ＡＴ,47,MG30C,5 - すごくきれい,297 ～ 302,2025年03月,グランスポーツ,3000,7.12,グレー,AC NV TV AW 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2008,ＡＴ,103,MQP,4 - きれい,32 ～ 37,2025年03月,ベースグレード,4200,,グレー,AC AW 革,,,,,
マセラティ,ギブリ 4D 2WD,2016,ＡＴ,67,MG30D,5 - すごくきれい,179 ～ 185,2025年03月,ベースグレード,3000,8.8,白,AC NV TV SR,,,,,
マセラティ,レヴァンテ 5D 4WD,2018,ＡＴ,46,MLE30D,5 - すごくきれい,332 ～ 335,2025年03月,グランスポーツ,3000,,白,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2019,ＡＴ,20,MGTA1,5 - すごくきれい,782 ～ 785,2025年03月,スポーツ,4700,8.12,白,AC NV TV AW,,,,,
マセラティ,ギブリ 4D 2WD,2016,ＡＴ,17,MG30B,5 - すごくきれい,203 ～ 205,2025年03月,ベースグレード,3000,,白,AC NV TV AW 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2017,ＡＴ,34,MLE30D,5 - すごくきれい,396 ～ 398,2025年03月,ベースグレード,3000,8.10,黒,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2019,ＡＴ,74,MLE38A,5 - すごくきれい,488 ～ 493,2025年03月,トロフェオ,3800,8.10,黒,AC AW SR 革,,,,,
マセラティ,レヴァンテ 4WD,2017,ＡＴ,77,MLE30,5 - すごくきれい,284 ～ 288,2025年03月,,3000,8.10,黒,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2018,ＡＴ,76,MG30C,4 - きれい,227 ～ 229,2025年03月,グランスポーツ,3000,7.11,黒,AC AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2017,ＡＴ,35,MG30A,5 - すごくきれい,414 ～ 419,2025年03月,Ｓ グランスポーツ,3000,,黒,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2008,ＡＴ,69,MQP,4 - きれい,76 ～ 81,2025年03月,スポーツＧＴ,4200,8.1,ワイン,AC SR 革,,,,,
マセラティ,グランスポーツ クーペ 2WD,2006,ＡＴ,64,MGS,3 - 普通,130 ～ 133,2025年03月,ベースグレード,4200,,黒,AC AW 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2008,ＡＴ,79,MQP,5 - すごくきれい,129 ～ 131,2025年03月,スポーツＧＴ,4200,,,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ 2WD,2012,ＡＴ,58,4 - きれい,221 ～ 223,nan,2025年03月,,4700,,黒,AC 革,,,,,
マセラティ,ギブリ 4D 2WD,2021,ＡＴ,15,MG30C,5 - すごくきれい,523 ～ 528,2025年03月,グランスポーツ,3000,,紺,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2018,ＡＴ,44,MLE30D,3 - 普通,263 ～ 267,2025年03月,グランスポーツ,3000,7.7,白,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2008,ＡＴ,83,MGT,5 - すごくきれい,247 ～ 249,2025年03月,ベースグレード,4200,,黒,AC NV TV AW 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2013,ＡＴ,51,MQP38A,5 - すごくきれい,240 ～ 246,2025年03月,ＧＴ Ｓ,3800,8.10,黒,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 4WD,2021,ＡＴ,78,MLE30,5 - すごくきれい,319 ～ 322,2025年03月,,3000,8.2,紺,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2014,ＡＴ,83,MG30B,4 - きれい,122 ～ 126,2025年03月,ベースグレード,3000,7.12,白,AC NV TV AW SR,,,,,
マセラティ,ギブリ 4D 4WD,2018,ＡＴ,30,3 - 普通,151 ～ 154,nan,2025年03月,Ｓ Ｑ４,3000,,白,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2018,ＡＴ,26,MLE30E,5 - すごくきれい,450 ～ 453,2025年03月,Ｓグランルッソ,3000,,黒,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2008,ＡＴ,38,MGT,5 - すごくきれい,307 ～ 310,2025年03月,ベースグレード,4200,8.10,,AC NV TV 革,,,,,
マセラティ,グレカーレ 5D 4WD,2023,ＡＴ,11,MGR20A,5 - すごくきれい,687 ～ 690,2025年03月,モデナ,2000,8.2,パール,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 4WD,2020,ＡＴ,47,MLE30E,4 - きれい,322 ～ 327,2025年03月,,3000,,茶,AC 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2014,ＡＴ,78,MQP30A,4 - きれい,169 ～ 172,2025年03月,Ｓ,3000,7.1,黒,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2011,ＡＴ,42,MGTA,5 - すごくきれい,323 ～ 326,2025年03月,Ｓ,4700,8.3,黒,AC NV TV AW 革,,,,,
マセラティ,ギブリ 4D 2WD,2016,ＡＴ,30,MG30B,5 - すごくきれい,218 ～ 223,2025年03月,ベースグレード,3000,,白,AC AW 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2008,ＡＴ,41,MGT,-1 - 修復歴あり,179 ～ 182,2025年03月,ベースグレード,4200,,黒,AC,,,,,
マセラティ,グラントゥーリズモ 2WD,2016,ＡＴ,9,MGTA1,5 - すごくきれい,697 ～ 702,2025年03月,,4700,8.2,青,AC NV TV AW 革,,,,,
マセラティ,ギブリ 4D 2WD,2016,ＡＴ,53,MG30B,5 - すごくきれい,173 ～ 175,2025年03月,ベースグレード,3000,8.1,赤,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2009,ＡＴ,51,MGT,5 - すごくきれい,203 ～ 207,2025年03月,ベースグレード,4200,,グレー,AC 革,,,,,
マセラティ,グランカブリオ オープン 2WD,2017,ＡＴ,6,MGCS1,5 - すごくきれい,801 ～ 807,2025年03月,スポーツ,4700,7.11,パール,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2010,ＡＴ,55,MQPS,4 - きれい,186 ～ 189,2025年03月,Ｓ,4700,7.8,黒,AC 革,,,,,
マセラティ,ギブリ 2WD,2021,ＡＴ,73,MG30C,-1 - 修復歴あり,279 ～ 283,2025年03月,,3000,7.11,白,AC AW SR 革,,,,,
マセラティ,クアトロポルテ 2WD,2008,ＡＴ,107,MQP,4 - きれい,39 ～ 43,2025年03月,,4200,,シルバー,AC AW SR 革,,,,,
マセラティ,ギブリ 2WD,2021,ＡＴ,72,MG30C,-1 - 修復歴あり,279 ～ 284,2025年03月,,3000,8.5,白,AC AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2017,ＡＴ,39,MLE30E,4 - きれい,320 ～ 325,2025年03月,Ｓ,3000,8.8,白,AW,,,,,
マセラティ,レヴァンテ 4WD,2021,ＡＴ,31,MLE30,5 - すごくきれい,621 ～ 626,2025年03月,,3000,8.5,青,AC AW SR,,,,,
マセラティ,レヴァンテ 5D 4WD,2021,ＡＴ,5,MLE30D,5 - すごくきれい,550 ～ 554,2025年03月,グランスポーツ,3000,8.9,白,AC AW SR,,,,,
マセラティ,クアトロポルテ 4D 2WD,2015,ＡＴ,57,MQP30A,5 - すごくきれい,180 ～ 184,2025年03月,Ｓ,3000,,黒,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2020,ＡＴ,8,MG30C,5 - すごくきれい,430 ～ 433,2025年03月,グランスポーツ,3000,,青,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2008,ＡＴ,93,MGTS,3 - 普通,257 ～ 262,2025年03月,,4700,8.3,白,AC NV TV,,,,,
マセラティ,ギブリ 4D 2WD,2014,ＡＴ,39,MG30B,4 - きれい,163 ～ 168,2025年03月,ベースグレード,3000,,黒,AC NV TV AW SR,,,,,
マセラティ,ギブリ 4D 2WD,2015,ＡＴ,58,MG30A,4 - きれい,146 ～ 152,2025年03月,Ｓ,3000,,白,AC AW 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2018,ＡＴ,85,MLE30D,5 - すごくきれい,262 ～ 264,2025年03月,グランスポーツ,3000,7.1,白,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 4WD,2014,ＡＴ,91,MG30AA,-1 - 修復歴あり,152 ～ 156,2025年03月,Ｓ Ｑ４,3000,8.6,白,AC NV TV SR,,,,,
マセラティ,ギブリ 4D 2WD,2016,ＡＴ,70,MG30B,4 - きれい,158 ～ 162,2025年03月,ベースグレード,3000,,グレー,AC NV TV AW,,,,,
マセラティ,レヴァンテ 5D 4WD,2018,ＡＴ,51,MLE30D,5 - すごくきれい,311 ～ 315,2025年03月,グランスポーツ,3000,7.5,白,AC AW SR,,,,,
マセラティ,クアトロポルテ 4D 2WD,2007,ＡＴ,49,MQP,5 - すごくきれい,124 ～ 127,2025年03月,エグゼクティブＧＴ,4200,8.8,白,AC NV TV AW 革,,,,,
マセラティ,ギブリ 4D 2WD,2014,ＡＴ,88,MG30B,4 - きれい,108 ～ 111,2025年03月,ベースグレード,3000,7.10,白,AC NV TV AW SR,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2011,ＡＴ,26,MGTA,5 - すごくきれい,309 ～ 311,2025年03月,Ｓ,4700,7.8,,AC AW 革,,,,,
マセラティ,ギブリ 4D 4WD,2014,ＡＴ,97,MG30AA,4 - きれい,128 ～ 132,2025年03月,Ｓ Ｑ４,3000,,黒,AC AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2015,ＡＴ,68,MG30A,4 - きれい,189 ～ 192,2025年03月,Ｓ,3000,7.11,パール,AC NV TV AW SR,,,,,
マセラティ,レヴァンテ 5D 4WD,2017,ＡＴ,23,MLE30E,5 - すごくきれい,370 ～ 373,2025年03月,Ｓ,3000,,白,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2013,ＡＴ,40,MG30A,4 - きれい,148 ～ 151,2025年03月,Ｓ,3000,7.10,黒,AC SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2020,ＡＴ,32,MLE30D,5 - すごくきれい,457 ～ 462,2025年03月,グランスポーツ,3000,8.3,黒,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2015,ＡＴ,28,MGTS2,5 - すごくきれい,423 ～ 427,2025年03月,,4700,8.7,赤,AC NV TV AW 革,,,,,
マセラティ,クーペ 2WD,2006,ＡＴ,84,MCP,4 - きれい,118 ～ 121,2025年03月,,4200,7.2,,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2008,ＡＴ,111,MQP,4 - きれい,63 ～ 68,2025年02月,スポーツＧＴ,4200,8.3,白,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2008,ＡＴ,94,MGT,4 - きれい,187 ～ 193,2025年02月,ベースグレード,4200,8.3,白,AC 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2001,ＡＴ,71,QP6,4 - きれい,76 ～ 80,2025年02月,エボルツィオーネＶ６,2800,7.10,青,AC AW,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2015,ＡＴ,96,MGTA1,4 - きれい,316 ～ 321,2025年02月,スポーツ ＭＣオートシフト,4700,,,AC NV TV AW 革,,,,,
マセラティ,ギブリ 4D 2WD,2016,ＡＴ,53,MG30A,5 - すごくきれい,240 ～ 243,2025年02月,Ｓ,3000,,黒,AC AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2013,ＡＴ,46,MQP38A,4 - きれい,226 ～ 229,2025年02月,ＧＴ Ｓ,3800,8.8,黒,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2010,ＡＴ,73,MGT,4 - きれい,208 ～ 211,2025年02月,ベースグレード,4200,7.10,黒,AC NV TV AW 革,,,,,
マセラティ,ギブリ 4D 2WD,2017,ＡＴ,93,MG30A,5 - すごくきれい,145 ～ 149,2025年02月,Ｓ,3000,7.12,黒,AC NV TV SR 革,,,,,
マセラティ,ギブリ 4D 4WD,2014,ＡＴ,32,MG30AA,4 - きれい,229 ～ 233,2025年02月,Ｓ Ｑ４,3000,7.6,白,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2014,ＡＴ,28,MG30B,5 - すごくきれい,194 ～ 199,2025年02月,ベースグレード,3000,7.10,白,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2011,ＡＴ,76,MGTA,4 - きれい,362 ～ 366,2025年02月,Ｓ,4700,9.2,赤,AC NV TV AW,,,,,
マセラティ,クアトロポルテ 2WD,2006,ＡＴ,123,MQP,4 - きれい,30 ～ 33,2025年02月,,4200,8.7,シルバー,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2016,ＡＴ,51,MG30B,5 - すごくきれい,166 ～ 170,2025年02月,ベースグレード,3000,7.10,ワイン,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 4WD,2022,ＡＴ,7,MLE20,5 - すごくきれい,593 ～ 597,2025年02月,,2000,7.7,パール,AC NV TV AW SR 革,,,,,
マセラティ,グランカブリオ オープン 2WD,2012,ＡＴ,65,MGCS,5 - すごくきれい,366 ～ 370,2025年02月,スポーツ,4700,7.2,黒,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2020,ＡＴ,12,MLE30D,5 - すごくきれい,480 ～ 484,2025年02月,グランスポーツ,3000,7.6,黒,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2013,ＡＴ,30,MQP38A,5 - すごくきれい,296 ～ 300,2025年02月,ＧＴ Ｓ,3800,9.2,白,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2009,ＡＴ,36,MGTS,4 - きれい,234 ～ 238,2025年02月,Ｓ,4700,,黒,AC NV TV AW 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2017,ＡＴ,37,MLE30A,4 - きれい,276 ～ 280,2025年02月,ベースグレード,3000,,白,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2010,ＡＴ,26,MGTS,5 - すごくきれい,296 ～ 298,2025年02月,Ｓ,4700,7.11,黒,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2007,ＡＴ,27,MQP,5 - すごくきれい,168 ～ 170,2025年02月,エグゼクティブＧＴ,4200,8.9,黒,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 2WD,2020,ＡＴ,36,MG30A,5 - すごくきれい,491 ～ 494,2025年02月,,3000,,黒,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2014,ＡＴ,39,MG30A,4 - きれい,140 ～ 143,2025年02月,Ｓ,3000,7.9,青,AC NV TV AW 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2020,ＡＴ,112,MLE30A,4 - きれい,257 ～ 262,2025年02月,グランスポーツ,3000,,白,AC AW 革,,,,,
マセラティ,ギブリ 4D 2WD,2018,ＡＴ,56,MG30C,3 - 普通,191 ～ 194,2025年02月,ベースグレード,3000,,グレー,AC NV TV AW 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2018,ＡＴ,30,MLE30E,5 - すごくきれい,316 ～ 321,2025年02月,Ｓ,3000,7.7,白,AC AW SR 革,,,,,
マセラティ,ギブリ 4D 4WD,2016,ＡＴ,46,MG30AA,5 - すごくきれい,288 ～ 292,2025年02月,Ｓ Ｑ４,3000,7.4,白,AC AW SR,,,,,
マセラティ,クアトロポルテ 4D 2WD,2014,ＡＴ,61,MQP38A,5 - すごくきれい,235 ～ 238,2025年02月,ＧＴ Ｓ,3800,7.5,白,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2017,ＡＴ,50,MLE30A,4 - きれい,289 ～ 292,2025年02月,ベースグレード,3000,8.7,白,AC AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2018,ＡＴ,81,MQP30A,5 - すごくきれい,263 ～ 267,2025年02月,Ｓ,3000,8.1,白,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2016,ＡＴ,58,MG30B,4 - きれい,184 ～ 188,2025年02月,ベースグレード,3000,7.9,黒,AC AW,,,,,
マセラティ,ギブリ 4D 2WD,2020,ＡＴ,46,MG30C,4 - きれい,300 ～ 305,2025年02月,グランスポーツ,3000,7.9,,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2020,ＡＴ,5,MG30C,5 - すごくきれい,533 ～ 538,2025年02月,グランスポーツ,3000,8.1,グレー,AC SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2017,ＡＴ,73,MLE30A,3 - 普通,262 ～ 265,2025年02月,グランスポーツ,3000,8.6,黒,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2009,ＡＴ,49,MGT,4 - きれい,200 ～ 204,2025年02月,ベースグレード,4200,,グレー,AC AW 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2015,ＡＴ,54,MGTA1,5 - すごくきれい,324 ～ 327,2025年02月,スポーツ,4700,,白,,,,,,
マセラティ,クアトロポルテ 4D 2WD,2004,ＡＴ,74,MQP,4 - きれい,49 ～ 52,2025年02月,ベースグレード,4200,7.8,青,AC NV TV AW SR 革,,,,,
マセラティ,グランスポーツ クーペ 2WD,2007,ＡＴ,31,MGS,5 - すごくきれい,445 ～ 449,2025年02月,１０ｔｈアニバーサリー,4200,,黒,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2019,ＡＴ,47,MLE30D,5 - すごくきれい,370 ～ 374,2025年02月,グランスポーツ,3000,7.12,白,AC NV TV AW 革,,,,,
マセラティ,レヴァンテ 4WD,2022,ＡＴ,17,MLE20,5 - すごくきれい,602 ～ 606,2025年02月,,2000,,黒,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2019,ＡＴ,50,MLE30E,5 - すごくきれい,430 ～ 434,2025年02月,Ｓグランスポーツ,3000,8.4,白,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2008,ＡＴ,68,MGT,4 - きれい,257 ～ 259,2025年02月,ベースグレード,4200,7.6,黒,AC NV TV AW 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2018,ＡＴ,112,MLE30A,4 - きれい,228 ～ 231,2025年02月,ベースグレード,3000,8.8,白,AC NV TV 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2008,ＡＴ,48,MGT,4 - きれい,221 ～ 225,2025年02月,ベースグレード,4200,,白,AC NV TV AW,,,,,
マセラティ,レヴァンテ 4WD,2018,ＡＴ,75,MLE30,4 - きれい,269 ～ 272,2025年02月,,3000,,グレー,AC,,,,,
マセラティ,ギブリ 4D 2WD,2013,ＡＴ,113,MG30A,4 - きれい,141 ～ 145,2025年02月,Ｓ,3000,,黒,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2021,ＡＴ,21,MLE30A,5 - すごくきれい,447 ～ 451,2025年02月,グランスポーツ,3000,8.7,黒,AC NV TV AW SR,,,,,
マセラティ,ギブリ 4D 2WD,2019,ＡＴ,28,MG30C,5 - すごくきれい,357 ～ 361,2025年02月,グランルッソ,3000,8.1,青,AC NV TV AW 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2017,ＡＴ,87,MQP30A,5 - すごくきれい,229 ～ 232,2025年02月,Ｓ グランスポーツ,3000,,白,AC NV TV AW SR 革,,,,,
